budget,days,vibe,destination,latitude,longitude
5600,4,Historical,Tirur Thunchan Parambu,10.9140,75.9220
5700,4,Historical,Kottakkal Arya Vaidya Sala,10.9940,76.0070
5800,4,Historical,Mishkal Mosque,11.2485,75.7789
5900,4,Historical,Pazhassi Raja Museum,11.2736,75.8221
6000,4,Historical,Mananchira Square,11.2588,75.7804
6100,4,Historical,Lokanarkavu Heritage,11.5837,75.6056
6200,4,Historical,Arakkal Palace,11.8614,75.3736
6300,4,Historical,St Angelo Fort Museum,11.8544,75.3683
6400,4,Historical,Gundert Bungalow,11.7480,75.4890
6500,4,Historical,Madayipara Heritage Site,12.0330,75.2560
6600,4,Historical,Ezhimala Naval Heritage,12.0410,75.2080
6700,4,Historical,Chandragiri Fort,12.5020,74.9900
6800,5,Historical,Hosdurg Fort,12.3090,75.0890
6900,5,Historical,Ananthapura Lake Temple Heritage,12.5850,75.0800
7000,5,Historical,Malik Deenar Mosque,12.5000,74.9900
1500,1,Pilgrimage,Sree Padmanabhaswamy Temple East Fort,8.4829,76.9435
1600,1,Pilgrimage,Pazhavangadi Ganapathy Temple,8.4820,76.9460
1700,1,Pilgrimage,Karikkakom Chamundi Temple,8.5095,76.9060
1800,1,Pilgrimage,Madavaoorpara Shiva Temple,8.5970,76.9580
1900,1,Pilgrimage,Vettucaud Church,8.5060,76.8930
2000,1,Pilgrimage,St Marys Cathedral Pattom,8.5220,76.9360
2100,2,Pilgrimage,Kottarakkara Ganapathy Temple,9.0010,76.7700
2200,2,Pilgrimage,Oachira Parabrahma Temple,9.1297,76.5066
2300,2,Pilgrimage,Mata Amritanandamayi Ashram,9.0920,76.4900
2400,2,Pilgrimage,Parabrahma Temple Omalloor,9.2730,76.7850
2500,2,Pilgrimage,Malayalapuzha Devi Temple,9.2680,76.8070
2600,2,Pilgrimage,Maramon Convention Site,9.3350,76.6900
2700,2,Pilgrimage,Parumala Church,9.3260,76.5350
2800,2,Pilgrimage,Edathua Church,9.3710,76.4780
2900,2,Pilgrimage,Arthunkal Church,9.6690,76.3040
3000,2,Pilgrimage,Chettikulangara Temple,9.2450,76.5200
3100,2,Pilgrimage,Mullakkal Rajarajeswari Temple,9.4980,76.3380
3200,2,Pilgrimage,Ettumanoor Temple,9.6706,76.5583
3300,2,Pilgrimage,Bharananganam Church,9.7040,76.7280
3400,2,Pilgrimage,Manarcad Church,9.5800,76.5750
3500,2,Pilgrimage,Kaduthuruthy Mahadeva Temple,9.7640,76.5000
3600,3,Pilgrimage,Udayanapuram Subrahmanya Temple,9.7580,76.3950
3700,3,Pilgrimage,Kanjiramattom Mosque,9.8650,76.4000
3800,3,Pilgrimage,St George Church Edappally,10.0270,76.3080
3900,3,Pilgrimage,Vallarpadam Basilica,10.0000,76.2520
4000,3,Pilgrimage,Koonan Kurishu Shrine,9.9588,76.2595
4100,3,Pilgrimage,Santa Cruz Basilica,9.9668,76.2422
4200,3,Pilgrimage,St Thomas Church Malayattoor,10.1978,76.5161
4300,3,Pilgrimage,Kodungallur Temple,10.2267,76.1972
4400,3,Pilgrimage,Thiruvanchikulam Temple,10.2180,76.1980
4500,3,Pilgrimage,Our Lady of Dolours Basilica,10.5276,76.2144
4600,3,Pilgrimage,Paramekkavu Temple,10.5276,76.2144
4700,3,Pilgrimage,Thiruvambady Temple,10.5300,76.2160
4800,3,Pilgrimage,Koodalmanikyam Temple,10.3440,76.2130
4900,3,Pilgrimage,Triprayar Sree Rama Temple,10.4230,76.1090
5000,3,Pilgrimage,Punnathur Kotta,10.5940,76.0300
5100,4,Pilgrimage,Kalpathy Temple,10.7867,76.6548
5200,4,Pilgrimage,Chinakkathoor Temple,10.7780,76.3770
5300,4,Pilgrimage,Thirumandhamkunnu Temple,10.9660,76.2260
5400,4,Pilgrimage,Kadampuzha Bhagavathy Temple,10.9833,76.0333
5500,4,Pilgrimage,Mamburam Mosque,11.0800,75.9300
5600,4,Pilgrimage,Tali Temple Kozhikode,11.2480,75.7800
5700,4,Pilgrimage,Varakkal Devi Temple,11.2830,75.7540
5800,4,Pilgrimage,Kappad Mosque Area,11.3850,75.7200
5900,4,Pilgrimage,Thirunelli Mahavishnu Temple,11.9167,76.0833
6000,4,Pilgrimage,Valliyoorkavu Temple,11.8040,76.0040
6100,4,Pilgrimage,Kottiyoor Temple,11.8870,75.7840
6200,4,Pilgrimage,Parassinikadavu Temple,11.9748,75.4230
6300,4,Pilgrimage,Rajarajeshwara Temple Taliparamba,12.0420,75.3600
6400,4,Pilgrimage,Trichambaram Temple,12.0430,75.3600
6500,4,Pilgrimage,Madhur Temple,12.5220,74.9900
6600,4,Pilgrimage,Ananthapura Lake Temple,12.5850,75.0800
6700,5,Pilgrimage,Bela Church,12.5070,75.0000
6800,5,Pilgrimage,Malik Deenar Juma Masjid,12.5000,74.9900
6900,5,Pilgrimage,Kottancheri Pilgrimage Hills,12.3167,75.3833
7000,5,Pilgrimage,Manjeswaram Jain Temple,12.7130,74.8900
3800,3,Adventure,Neyyar Dam Boating,8.5337,77.1502
3900,3,Adventure,Poovar Boating,8.3181,77.0678
4000,3,Adventure,Kovalam Surfing,8.4021,76.9784
4100,3,Adventure,Varkala Cliff Walk,8.7338,76.7116
4200,3,Adventure,Jatayu Cable Car,8.8876,76.8677
4300,3,Adventure,Thenmala Adventure Zone,8.9567,77.0667
4400,3,Adventure,Thenmala Boating,8.9560,77.0640
4500,3,Adventure,Rosemala Viewpoint,8.9100,77.1300
4600,3,Adventure,Konni Coracle Ride,9.2675,76.9472
4700,3,Adventure,Adavi Bowl Boat Ride,9.2675,76.9472
4800,3,Adventure,Gavi Jeep Safari,9.4394,77.1656
4900,3,Adventure,Alappuzha Houseboat,9.4981,76.3388
5000,3,Adventure,Kumarakom Houseboat,9.5928,76.4227
5100,4,Adventure,Pathiramanal Kayaking,9.6178,76.3881
5200,4,Adventure,Illikkal Kallu Trek,9.6644,76.8344
5300,4,Adventure,Kurisumala Trek,9.6642,76.8925
5400,4,Adventure,Vagamon Paragliding,9.6869,76.9048
5500,4,Adventure,Vagamon Off Road Trail,9.6865,76.9058
5600,4,Adventure,Idukki Arch Dam View,9.8441,76.9725
5700,4,Adventure,Calvary Mount Trek,9.8279,76.9291
5800,4,Adventure,Ramakkalmedu Wind View,9.8000,77.2500
5900,4,Adventure,Kolukkumalai Trek,10.0880,77.2280
6000,4,Adventure,Meesapulimala Trek,10.1375,77.2577
6100,4,Adventure,Chokramudi Trek,10.0760,77.0550
6200,4,Adventure,Top Station Trek,10.1218,77.2463
6300,4,Adventure,Eravikulam Trek Trail,10.1500,77.0833
6400,4,Adventure,Marayoor Dolmens Trail,10.2694,77.1611
6500,4,Adventure,Chinnar Trekking Trail,10.3506,77.2158
6600,4,Adventure,Malampuzha Ropeway,10.8300,76.6900
6700,4,Adventure,Nelliyampathy Hairpin Drive,10.5342,76.6936
6800,5,Adventure,Seetharkundu Trek,10.5330,76.6900
6900,5,Adventure,Silent Valley Trek,11.0833,76.4500
7000,5,Adventure,Attappadi Tribal Trail,11.1010,76.5450
7100,5,Adventure,Nilambur Canoli Plot Walk,11.2766,76.2286
7200,5,Adventure,Kakkayam Dam Trek,11.5460,75.9000
7300,5,Adventure,Thusharagiri Trek,11.4728,76.0506
7400,5,Adventure,Peruvannamuzhi Boating,11.5950,75.8200
7500,5,Adventure,Chembra Heart Lake Trek,11.5458,76.0886
7600,5,Adventure,Banasura Hill Trek,11.6709,75.9506
7700,5,Adventure,Kuruva Island Walk,11.8336,76.0866
7800,5,Adventure,Edakkal Cave Trail,11.6266,76.2369
7900,5,Adventure,Brahmagiri Trek,11.9410,76.0140
8000,5,Adventure,Paithalmala Trek,12.0998,75.6568
8100,5,Adventure,Palakkayam Thattu Trek,12.0770,75.5600
8200,5,Adventure,Kanjirakolly Trek,12.0740,75.5230
8300,5,Adventure,Ranipuram Trek,12.4277,75.3536
8400,5,Adventure,Kottancheri Trek,12.3167,75.3833
8500,5,Adventure,Posadigumpe Viewpoint,12.6390,75.0300
